timestamp,level,service,message,response_time,client_ip,error_code,execution_time,query_type,cpu_usage,memory_usage,affected_tables,action
2024-02-15T08:00:00Z,WARNING,web-server,GET categories/list FAILED - 503,143ms,150.228.211.4,,,,,,,
2024-02-15T08:00:05Z,INFO,auth-service,User login: katiebond,,66.244.46.1,,,,,,,
2024-02-15T08:00:10Z,INFO,web-server,GET search OK - 200,61ms,134.171.1.15,,,,,,orders;users,
2024-02-15T08:00:15Z,INFO,database,Query SUCCESS: SELECT * FROM low,,,,288ms,write,,,,
2024-02-15T08:00:20Z,INFO,database,Query SUCCESS: SELECT * FROM great,,,,767ms,read,,,,
2024-02-15T08:00:25Z,INFO,payment-service,,,,,,,,,,
2024-02-15T08:00:30Z,INFO,database,Query SUCCESS: SELECT * FROM build,,,,919ms,read,,,,
2024-02-15T08:00:35Z,INFO,web-server,GET blog/tag/app OK - 200,70ms,172.39.190.133,,,,,,,
2024-02-15T08:00:40Z,INFO,auth-service,User login: heatherolson,,80.212.189.148,,,,,,,
2024-02-15T08:00:45Z,INFO,auth-service,User login: deleonamy,,214.193.102.53,,,,,,,
2024-02-15T08:00:50Z,INFO,payment-service,,,,,,,,,,
2024-02-15T08:00:55Z,INFO,web-server,GET list/list OK - 200,112ms,37.206.72.151,,,,,,,
2024-02-15T08:01:00Z,INFO,auth-service,User login: ryan51,,117.152.86.185,,,,,,,
2024-02-15T08:01:05Z,INFO,web-server,GET tag/category OK - 200,54ms,95.89.111.9,,,,,,orders;users,
2024-02-15T08:01:10Z,ERROR,database,Query FAILED: SELECT * FROM guess,,,HTTP_503,97ms,read,,,,
2024-02-15T08:01:15Z,INFO,auth-service,User login: robert92,,18.161.58.202,,,,,,,
2024-02-15T08:01:20Z,INFO,web-server,GET tag/tag OK - 200,192ms,154.176.207.17,,,,,,,
2024-02-15T08:01:25Z,INFO,database,Query SUCCESS: SELECT * FROM know,,,,1404ms,write,,,,
2024-02-15T08:01:30Z,INFO,web-server,GET app/tags/main OK - 200,111ms,88.113.215.177,,,,,,orders;users,
2024-02-15T08:01:35Z,WARNING,payment-service,,,,,,,,,,
2024-02-15T08:01:40Z,CRITICAL,database,Query FAILED: SELECT * FROM especially,,,,127ms,write,81,41%,,
2024-02-15T08:01:45Z,INFO,payment-service,,,,,,,,,orders;users,
2024-02-15T08:01:50Z,CRITICAL,web-server,GET search/explore FAILED - 503,122ms,141.185.255.11,,,,79,74%,,
2024-02-15T08:01:55Z,WARNING,auth-service,SQL injection attempt detected: Bar policy program consider door statement.,,207.68.8.189,,,,,,,
2024-02-15T08:02:00Z,INFO,web-server,GET main/list OK - 200,50ms,133.33.174.45,,,,,,,
2024-02-15T08:02:05Z,CRITICAL,web-server,GET main/tags/posts FAILED - 500,76ms,50.226.55.133,,,,80,24%,,
2024-02-15T08:02:10Z,INFO,payment-service,,,,,,,,,,
2024-02-15T08:02:15Z,INFO,web-server,GET category/search/blog OK - 200,118ms,122.16.28.28,,,,,,,
2024-02-15T08:02:20Z,INFO,payment-service,,,,,,,,,,
2024-02-15T08:02:25Z,INFO,payment-service,,,,,,,,,,
